Company,Website,Batch,Vertical,TeamSize,Hiring,OneLiner
JustAI,https://getjust.ai,Winter 2024,AI,4,yes,Agentic Marketing Platform
BetterBasket,http://www.betterbasket.com,Winter 2024,AI,5,yes,Smart grocery pricing with AI
Model ML,https://www.modelml.com/,Winter 2024,AI,80,yes,AI Workspace for Financial Services.
Brainbase Labs,https://brainbaselabs.com,Winter 2024,AI,4,yes,The AI Labor Company
Openmart,https://www.openmart.com,Winter 2024,AI,6,yes,Local business data intelligence platform
Rove,https://rove.com,Winter 2024,AI,4,yes,Travel the world for free.
Retell AI,https://retellai.com,Winter 2024,AI,50,yes,Supercharge Your Contact Center Operations with AI Phone Agents
Senso,http://www.senso.ai,Winter 2024,AI,8,yes,Control what AI says about you
Piramidal,https://piramidal.ai,Winter 2024,AI,10,yes,Foundation Model for the Brain
Yarn,https://www.yarn.so,Winter 2024,AI,6,yes,Yarn is the video product for agentic GTM teams.
GetCrux,http://getcrux.ai/,Winter 2024,AI,9,yes,AI Creative Strategist
Coval,https://coval.dev,Summer 2024,AI/DevTools,10,yes,Simulation & Evaluation that scales voice and chat AI agents
Domu Technology Inc.,https://www.domu.ai/,Summer 2024,AI,50,yes,AI Agents for collections
Educato,https://www.educato.com/,Summer 2024,AI,5,yes,Worldwide exam-prep platform
ProhostAI,https://www.prohost.ai/,Summer 2024,AI,5,yes,AI Property Manager for Airbnb & Short-Term Rental Hosts
Entangl,https://www.entangl.com/,Summer 2024,AI,15,yes,Find & resolve issues in data center engineering & operations using AI
Corgi Insurance,https://corgi.com,Summer 2024,AI,250,yes,Corgi is building an AI financial infrastructure company
Maitai,https://trymaitai.com,Summer 2024,AI/DevTools,6,yes,"Reliable, self-improving enterprise AI"
FirstWork,https://firstwork.com,Summer 2024,AI,9,yes,Rippling for seasonal workers
Unbound,https://getunbound.ai/,Summer 2024,AI,7,yes,Use AI tools without fear of data leakage
Silurian,https://silurian.ai/,Summer 2024,AI,6,yes,"Foundation models to simulate Earth, starting with weather."
Elevate,https://www.useelevate.dev/,Summer 2024,AI,3,yes,Automated AI data integrations for roll-ups
Tivara,https://tivara.com,Summer 2024,AI,2,yes,The AI workforce for medical groups
Lighthouz AI,https://lighthouz.ai/,Summer 2024,AI,8,yes,"Freight bill audits, AP, AR automation for freight brokers with…"
TaxGPT,https://www.taxgpt.com,Summer 2024,AI,45,yes,AI tax assistant for professionals and businesses
Anthrogen,https://anthrogen.com,Summer 2024,AI,6,yes,We're training the next generation of protein foundation models.
Clearly AI,https://clearly-ai.com,Summer 2024,AI,17,yes,Automate security and privacy reviews
