Company,Website,Batch,Vertical,TeamSize,Hiring,OneLiner
Manifold Freight,https://www.manifoldfreight.com/,Winter 2024,AI,5,,Aggregating Spot Freight Opportunities for Carriers
Diana,https://getdiana.com/,Winter 2024,AI,7,,Give Your Employee An Employee
Risotto,https://tryrisotto.com,Winter 2024,AI,3,,Risotto auto-solves IT support requests using AI
Ligo Biosciences,https://www.ligo.bio,Summer 2024,AI,4,,Enzyme design models.
Focal,https://focalml.com,Winter 2024,AI,2,,AI video creation tool for TV shows and movies
Alai,https://getalai.com,Winter 2024,AI,5,,Create high quality presentations quickly using AI
Shepherd,https://www.shepherd.study,Winter 2024,AI,5,,Every student's personalized learning assistant
Downlink,https://downlink.dev/,Winter 2024,AI/DevTools,1,,Make your LLMs 3x faster.
camelAI,https://camelai.com/,Winter 2024,AI,3,,Unlimited inference at $5 per stream
Adapted,https://adapted.app,Winter 2024,AI,2,,AI physical therapy for athletes
Deepnight,https://www.deepnight.com,Winter 2024,AI,16,,Building The Next Generation of Night Vision Devices
Aqua Voice,https://aquavoice.com,Winter 2024,AI,5,,Frontier Voice Input - write 4x faster than typing.
Basepilot,https://www.basepilot.com/,Winter 2024,AI,2,,AI agents for insurance claims
Veles,http://www.getveles.com,Winter 2024,AI,5,,CPQ for humans and agents
Magic Hour,https://magichour.ai,Winter 2024,AI,2,,Platform for AI video generation.
Silogy,https://silogy.io,Winter 2024,AI/DevTools,3,,An AI-powered test and debug platform for chip developers
Evolvere BioSciences,https://www.evolverebiosciences.com/,Summer 2024,AI,3,,Making Next-Generation Antibiotics that Outpace Bacterial Evolution
VoxOps AI,https://www.voxopsai.com/,Winter 2024,AI,6,,Voice AI for Automotive
Integuru,https://www.integuru.com,Winter 2024,AI/DevTools,5,,"Generate fast, reliable APIs for any platform"
Forge,https://www.forgehq.com/,Winter 2024,AI,6,,Getting companies refunds on tariffs & duties
Tower,https://withtower.com,Winter 2024,AI,3,,M&A due diligence platform powered by AI
kater.ai,https://www.kater.ai,Winter 2024,AI,3,,Deliver complete data analysis from a single question
InspectMind AI,https://www.inspectmind.ai,Winter 2024,AI,2,,AI agent for construction drawings review
Million,https://million.dev,Winter 2024,AI,5,,Tools for agent verification
Forge Rewards,https://www.joinforge.app/,Winter 2024,AI,5,,Starbucks app for restaurants
Marr Labs,https://www.marrlabs.com/,Winter 2024,AI,9,,AI-voice agents that are indistinguishable from humans.
Ångström AI,https://www.angstrom-ai.com,Summer 2024,AI,5,,Gen AI molecular simulations that reproduce wetlab results
Sorcerer,https://sorcerer.earth,Summer 2024,AI,4,,Building a nervous system for the atmosphere
Decisional AI,https://www.decisional.com/,Summer 2024,AI,3,,AI Coworkers for Business Automation
NetworkOcean,https://networkocean.io/,Summer 2024,AI,4,,We build and operate underwater data centers.
Scape,https://scape.app,Summer 2024,AI,5,,The intelligent inbox that works for you
Storia AI,https://storia.ai,Summer 2024,AI/ML/DevTools,2,,Open source AI copilot that knows your company's code and its context
RunLocal AI,https://runlocal.ai,Summer 2024,AI/DevTools,3,,AI agent that optimizes inference for embedded compute like Jetson
CodeViz,https://www.codeviz.ai/,Summer 2024,AI/DevTools,2,,One living model of your software architecture
Lore,https://joinlore.app/,Summer 2024,AI,2,,Transform your iMessage conversations into shareable stories
MinusX,https://minusx.ai,Summer 2024,AI/ML,2,,Open source agentic BI for founders
Kenley,https://kenley.ai/,Summer 2024,AI,6,,AI Agents for Advisory & Financial Services.
Plume,http://www.plumefinder.com,Summer 2024,AI,4,,Renewable infrastructure deployment at scale.
Modus,https://himodus.com,Summer 2024,AI,3,,Unlock revenue per employee with AI-powered headcount management
Benchify,https://www.benchify.com,Summer 2024,AI,4,,Executable healthcare contracts
Aluna,https://alunadata.com,Summer 2024,AI,3,,Data for biomedical AI
Ontra Mobility,https://www.ontramobility.com,Summer 2024,AI,2,,Platform for cities to optimize transit 
Planbase,https://www.joinplanbase.com/,Summer 2024,AI,6,,AI workforce management for healthcare 
Redouble AI,https://redouble.ai/,Summer 2024,AI,3,,Java-native multi-agentic AI operating system for enterprise
winfunc,https://winfunc.com,Summer 2024,AI,2,,ai-native security engineering for mission critical codebases
Opslane,https://opslane.com,Summer 2024,AI/DevTools,1,,Verify AI-generated code before you ship it
Kura AI,https://trykura.com,Summer 2024,AI,2,,New State of the Art for Browser Agents
Parley,https://parley.so,Summer 2024,AI,3,,"Automating flat-fee legal work, starting with work visas + green cards"
Sensei,https://senseirobotics.com,Summer 2024,AI,2,,Robotic Training Data at Scale
Handled,https://www.itshandled.ai,Summer 2024,AI,2,,Automating post-order operations for e-commerce brands and 3PLs
Bluedoor,https://bluedoor.sh/,Summer 2024,AI,1,,AI for public records request fulfillment
ZeroPath,https://zeropath.com,Summer 2024,AI/DevTools,10,,Automatically find and fix your software vulnerabilities
Propaya,https://www.propaya.com,Summer 2024,AI,2,,
Polymet,https://polymet.ai,Summer 2024,AI,3,,AI Product Designer
autarc,https://www.autarc.energy/global,Summer 2024,AI,30,,autarc is the agentic OS for energy installers.
Orca Client,https://orcaclient.com,Summer 2024,AI,2,,"Orca lets you build, discover, and play Minecraft games with friends."
Typa,https://typa.ai,Summer 2024,AI,2,,The content engine that wins attention and drives growth.
Quetzal,https://getquetzal.com/,Summer 2024,AI,2,,"Simple, LLM-first translation and internationalization for software"
Rastro,https://rastro.ai,Summer 2024,AI,3,,The fastest way to launch product catalogs.
Keet,https://trykeet.com,Summer 2024,AI,2,,An app to create courses on anything. 
Vera Health,https://www.vera-health.ai,Summer 2024,AI,6,,AI-powered clinical decision support for healthcare providers
Pipeshift,https://pipeshift.com,Summer 2024,AI,10,,Ultra-low latency inference cloud for real-time workloads
Void,https://useglass.ai,Summer 2024,AI/DevTools,2,,The open source Cursor alternative
Affil.ai,https://affil.ai/,Summer 2024,AI,4,,AI Affiliate Network For Financial Companies
Freestyle,https://www.freestyle.sh,Summer 2024,AI/DevTools,5,,The most powerful sandboxes for AI Agents
DreamRP,https://www.dreamrp.com/,Summer 2024,AI,2,,Tech and platforms for human creators and the entertainment industry
Riveter,https://www.riveterhq.com/,Fall 2024,AI,2,,Turn the web into structured data
Galini,https://www.galini.ai/,Fall 2024,AI,2,,Compliance guardrails-as-a-service for AI applications
Vortexify,https://www.vortexify.ai,Fall 2024,AI,2,,Build full-stack applications for business operations with AI
Vespper,https://vespper.com/?utm_source=ycombinator.com,Fall 2024,AI/DevTools,2,,The best DOCX MCP for agents to edit microsoft word documents
Freebuff,https://freebuff.com,Fall 2024,AI/DevTools,4,,The free coding agent
Pearson Labs,http://www.pearsonlabs.ai,Fall 2024,AI,2,,AI agents to automate corporate transactions
vly.ai,https://vly.ai,Fall 2024,AI,3,,The Lovable & Replit killers
AutoComputer,https://www.autocomputer.ai/,Fall 2024,AI,2,,Desktop RPA with AI computer use
Moonshine,https://usemoonshine.com,Fall 2024,AI/ML,2,,Extending AI to interact with the real world
Diffusion Studio,https://diffusion.studio/,Fall 2024,AI,2,,Turn your agent into a professional video editor
Struct,https://struct.ai,Fall 2024,AI/DevTools,3,,Agents that keep prod running
Melder,https://melder.io,Fall 2024,AI,2,,AI formulas and document support for Microsoft Excel
Freestyle,https://www.freestyle.ai,Fall 2024,AI,3,,The AI Assistant for Gmail
Andon Labs,https://andonlabs.com/,Winter 2024,ML,11,,Autonomous organizations without humans in the loop
Simplex,https://simplex.sh,Summer 2024,ML,2,,AI agents to enroll providers with payors
Ryse,https://www.rysemarket.com/,Winter 2024,ML,13,,The secondary market for real estate leases
Undermind,https://www.undermind.ai,Summer 2024,ML,,,An AI agent for scientific research
AutoPallet Robotics,https://autopallet.bot,Summer 2024,ML,6,,We make robots that move boxes in warehouses
Archil,https://archil.com,Fall 2024,ML/DevTools,11,,The high-performance file system that connects AI to data
Matcha,https://www.matcha-health.com,Fall 2024,ML,2,,The best way to hire clinical talent.
Metreecs,https://www.metreecs.com,Fall 2024,ML,6,,AI-powered demand forecasting for retail
Nuanced,https://www.nuanced.dev/,Winter 2024,DevTools,2,,the AI coding app for thinking. 
Leaping,https://www.leaping.io/,Winter 2024,DevTools,2,,Automate bug resolution
Vibrant Labs,https://vibrantlabs.com/,Winter 2024,DevTools,6,,Autonomously scaling environments
Pazi,https://pazi.ai/,Winter 2024,DevTools,7,,Platform where autonomous companies are built
Centauri AI,https://centauri-ai.tech,Winter 2024,DevTools,5,,Helps teams work effectively with AI coding agents.
Hatchet,https://hatchet.run,Winter 2024,DevTools,7,,The orchestration platform for teams who ship.
OpenFoundry,https://www.openfoundry.ai/,Winter 2024,DevTools,2,,The fastest developer experience for building on open source AI.
renderlet,http://renderlet.com,Winter 2024,DevTools,2,,Build interactive applications that run anywhere
Dragoneye,https://dragoneye.ai/,Winter 2024,DevTools,2,,Custom video detection models in less than 5 minutes
Miru,https://www.mirurobotics.com,Summer 2024,DevTools,3,,Config Management for Robotics
Doublezero,https://doublezero.tech,Summer 2024,DevTools,2,,"Platform to build, use, and monetize fully autonomous agents"
Random Labs,https://randomlabs.ai,Summer 2024,DevTools,,,Random labs is building long running autonomous coding agents.
ideate.xyz,https://ideate.xyz,Summer 2024,DevTools,2,,ideate.xyz is an AI-powered 3D art suite on the web
Hyrex,https://www.hyrex.io,Summer 2024,DevTools,3,,The COLD Task Framework
expand.ai,https://expand.ai/,Summer 2024,DevTools,2,,Turn any website into an API.
Vibe,https://vibe.codes,Summer 2024,DevTools,2,,Making everyone a software engineer
MagiCode,https://www.magicode.ai/,Summer 2024,DevTools,3,,A Reliable AI Frontend Engineer
Ember Robotics,https://www.emberrobotics.com,Summer 2024,DevTools,2,,Datadog for robots
Pinnacle,https://pinnacle.sh/,Summer 2024,DevTools,2,,API & SDK for RCS (the next-generation of texting)
Laminar,https://laminar.sh,Summer 2024,DevTools,6,,Understand why your AI agent breaks. Iterate fast to fix it.
Haystack,https://tryhaystack.dev/,Summer 2024,DevTools,2,,The agent-native control layer for code changes
HeroUI,https://heroui.com,Summer 2024,DevTools,5,,The UI framework for AI agents and developers to build beautiful apps.
Voker,https://voker.ai,Summer 2024,DevTools,6,,The Agent Analytics Platform
Endstack,https://www.endstack.com,Fall 2024,DevTools,2,,"The complete, collaborative workspace for humans and agents"
Lingo.dev,https://lingo.dev,Fall 2024,DevTools,7,,The Localization Engineering Platform
Surge,https://surge.app,Fall 2024,DevTools,3,,Stripe for telephony
Relvy AI,https://www.relvy.ai,Fall 2024,DevTools,3,,AI powered debugging notebooks for incident response
Unify,https://unify.ai,Winter 2023,AI,6,,AI teammates for everyone else 🤖
Linum,https://www.linum.ai/,Winter 2023,AI,2,,"type text, dream video"
Novelcare,https://www.novel.care,Winter 2023,AI,5,,Empowering every doctor and every patient to participate in research
Double – Coding Copilot,https://double.bot,Winter 2023,AI/DevTools,2,,AI coding copilot engineered for performance
Versive,https://www.getversive.com/,Winter 2023,AI,3,,AI-first user research platform
infra.new,https://infra.new,Winter 2023,AI/DevTools,3,,AI Agent for Cloud Infrastructure
PoplarML,http://poplarml.com,Winter 2023,AI/ML,2,,Deploy Machine Learning Models with One Command
DataSuite,https://truthsuite.com,Winter 2023,AI/ML/DevTools,4,,Dataset Management for AI Trainers
co.dev,https://co.dev/?ref=YC,Winter 2023,AI/DevTools,2,,Turn your ideas into full-stack apps
Velos,https://www.tryvelos.com,Winter 2023,AI,3,,Platform to automate manual back-office work
FactIQ,https://factiq.com/,Winter 2023,AI,3,,Investment research data for AI agents
Shortbread,https://www.shortbread.ai/,Winter 2023,AI,4,,Read romance comics.
Hippo Scribe,https://gethipposcribe.com,Winter 2023,AI,2,,AI assisted documentation for PT/OT/SLP
CombineHealth,https://www.combinehealth.ai/,Winter 2023,AI/ML,15,,Automating Healthcare Revenue Cycle Management with AI Workforce
Coldreach,https://coldreach.ai/,Winter 2023,AI,3,,Find the best leads with custom intent signals
Corgi Labs,https://www.corgilabs.ai,Winter 2023,AI,3,,AI to increase payment acceptance and reduce fraud for businesses
Maxi,https://www.usemaxi.app,Winter 2023,AI,2,,AI Agent for your personal finances
Decohere,https://decohere.ai,Winter 2023,AI,4,,Real-time generative AI
Conduit,http://helloconduit.com,Winter 2023,AI,15,,The operating system for shipping and receiving.
rex.fit,https://www.rex.fit,Winter 2023,AI,2,,Automating nutrition tracking.
Benchmark,https://withbenchmark.com/,Winter 2023,AI,7,,Decision infrastructure for investment firms
Yuma AI,https://yuma.ai,Winter 2023,AI,26,,The AI Support Agent for Ecommerce
Vaero,https://vaero.ai,Winter 2023,AI,1,,AI for Human Writing
Reworkd,https://reworkd.ai,Summer 2023,AI,1,,The simplest way to extract web data at scale
Ora AI,http://oraai.com/,Summer 2023,AI,3,,The AI Platform for Medical Education
Sohar Health,https://www.soharhealth.com,Summer 2023,AI,8,,AI-powered insurance verification to boost patient conversion.
Talc,https://talc.ai,Summer 2023,AI,3,,Event extraction for Medical Researchers
CORE,https://getcore.me,Summer 2023,AI/DevTools,3,,Your AI butler that understands you really well and proactively acts…
Spine AI,https://www.getspine.ai,Summer 2023,AI,7,,Manage a swarm of AI agents to get real work done
Venta AI,https://www.getventa.ai,Summer 2023,AI,7,,The compliant AI colleague for sales teams in Europe
Bronco AI,https://www.bronco.ai/,Summer 2023,AI,5,,AI for ASIC Design Verification
Arcimus,https://www.arcimus.com/,Summer 2023,AI,2,,A stream of engineering candidates who ship.
Serra,https://www.serra.io/,Summer 2023,AI,8,,Your 24/7 AI Recruiter
Dialtone,https://usedialtone.com,Summer 2023,AI,2,,AI Agents for Enterprises
VetRec,https://vetrec.io,Summer 2023,AI,45,,AI Scribe for veterinarians. Saving time and improving patient care.
MediSearch,https://medisearch.io,Summer 2023,AI,6,,Search engine for trustworthy medical information.
AgentCollect,https://www.agentcollect.com,Summer 2023,AI,42,,B2B debt collection powered by AI agents
sizeless,https://www.sizeless.co,Summer 2023,AI,3,,Instant 3D Digital Twins for Smarter Real Estate.
Gleam,https://joingleam.com,Summer 2023,AI,4,,Automating Data Entry for Clinical Trials
Slicker,https://www.slickerhq.com,Summer 2023,AI,2,,Recover payment failures and maximize subscription Revenue
Baserun,https://baserun.ai,Summer 2023,AI/DevTools,2,,Observability and evaluation platform for LLM apps.
DisputeNinja,https://www.disputeninja.ai,Summer 2023,AI,2,,Automate your chargebacks with AI agents
sudocode,https://sudocode.ai,Summer 2023,AI/DevTools,2,,orchestrate your coding agents with sudocode
Inventive AI,https://www.inventive.ai/,Summer 2023,AI,15,,AI Agents For RFP and Questionnaire Response Automation 
Terracotta AI,https://tryterracotta.com,Summer 2023,AI/DevTools,3,,AI-powered Infrastructure as Code PR reviews
Tiptap,https://tiptap.dev/,Summer 2023,AI/DevTools,19,,The open-source document editor for humans and AI agents.
Minded,https://www.minded.com/,Summer 2023,AI,2,,Cursor for AI Agents
Webhound,https://webhound.ai,Summer 2023,AI,2,,Long-horizon research agents
Inconvo,https://inconvo.com,Summer 2023,AI/DevTools,2,,Build chat-with-data agents for customer-facing applications
AiSDR,https://aisdr.com/,Summer 2023,AI,5,,AI sales prospecting. Replace your SDR with AiSDR
Twine,http://www.usetwine.com,Summer 2023,AI,6,,ai revenue engine for service businesses
Wattson Health,https://www.wattsonhealth.com,Summer 2023,AI,3,,AI Voice and SMS Agents for Healthcare
Opensteer,https://opensteer.com,Summer 2023,AI,1,,Specialized agents for real work
Scanbase,https://www.scanbase.com,Winter 2023,ML,10,,"The API for Diagnostic Test Analysis (COVID-19, FLU, RSV, STD,…"
Persist AI,http://www.persist-ai.com,Winter 2023,ML,6,,Developing long-lasting drug formulations 50% faster
PropRise,https://www.proprise.ai/,Summer 2023,ML,3,,The AI platform for CRE investment teams
Trainy,https://trainy.ai/,Summer 2023,ML/DevTools,3,,Infrastructure for managing GPU clusters for training/serving.
Trigger.dev,https://trigger.dev,Winter 2023,DevTools,9,,Build and deploy fully‑managed AI agents and workflows
DrDroid,https://drdroid.io/,Winter 2023,DevTools,8,,Your best friend in production.
Depot,https://depot.dev,Winter 2023,DevTools,22,,Software delivery built for machine scale.
Cloudchipr,https://cloudchipr.com/,Winter 2023,DevTools,25,,The #1 Actionable FinOps Platform
Extend,https://www.extend.ai/,Winter 2023,DevTools,25,,Production-ready document processing
Propexo,https://propexo.com,Winter 2023,DevTools,6,,Plaid for Commercial Real Estate
Wild Moose,https://wildmoose.ai,Winter 2023,DevTools,3,,Automating root cause analysis with generative AI
BuildJet,https://buildjet.com,Winter 2023,DevTools,2,,High-performance computing cloud
Sage AI,https://sage-ai.dev,Winter 2023,DevTools,2,,"Your self-generating, self-maintaining code knowledge base."
Fastgen,https://fastgen.com,Winter 2023,DevTools,7,,Webflow for the Backend
SuperAPI,https://trysuperapi.com,Winter 2023,DevTools,2,,Programmable API gateway that makes APIs cacheable
Skyhook,https://skyhook.io,Winter 2023,DevTools,7,,"PaaS-like experience with the power of Kubernetes, on your cloud"
Lightski,https://www.lightski.com,Winter 2023,DevTools,1,,Transform Document Workflows with AI Agents
Pierre,https://pierre.co,Winter 2023,DevTools,10,,"Pierre is a new, opinionated, git platform."
Metoro,https://metoro.io,Summer 2023,DevTools,2,,AI SRE For Teams on Kubernetes
Parea,https://www.parea.ai,Summer 2023,DevTools,2,,"Test, evaluate & observe your LLM applications"
Hiro,https://hirosecure.com,Summer 2023,DevTools,2,,Agents that handle security work
refine,https://refine.dev,Summer 2023,DevTools,10,,Open-source Retool for enterprise
Automorphic,https://automorphic.ai/,Summer 2023,DevTools,3,,Infuse knowledge into language models with just 10 samples
RecipeUI,https://recipeui.com,Summer 2023,DevTools,2,,The open source Postman alternative.
